,103.092,92.3098,100.897,91.2379,104.733
,115.419,84.3412,121.744,121.701,117.673
,74.4013,129.408,117.272,120.008,123.662
,99.1211,81.6146,122.681,123.206,87.5636
,129.796,121.366,114.47,128.697,123.175
,112.899,124.815,112.412,115.133,125.607
,125.936,133.908,118.474,123.114,108.024
,42.5471,108.506,110.981,103.216,111.577
,126.058,88.5306,125.276,120.374,119.533
,94.9472,106.851,102.647,104.922,122.993
,117.173,126.034,127.786,103.911,121.762
,113.125,103.202,133.411,114.98,114.679
,128.541,113.925,79.8793,122.636,119.586
,118.171,93.9159,119.689,122.472,129.806
,120.155,117.644,130.267,121.016,104.317
,111.693,120.19,115.589,127.303,112.476
,128.686,105.172,93.1808,130.159,125.998
,91.5252,113.228,124.584,119.417,118.934
,99.5834,108.787,130.157,118.165,114.844
,115.147,115.765,117.008,120.622,119.107
,110.458,128.925,118.347,111.993,125.967
,46.8717,127.814,73.3782,130.456,118.898
,133.992,125.862,125.588,109.076,109.214
,99.116,109.585,106.644,121.137,129.386
,126.374,130.006,121.276,128.89,103.613
,129.89,80.637,114.908,111.241,124.635
,116.641,119.13,117.826,118.675,116.945
,81.4781,89.1991,126.434,106.715,123.941
,90.5555,122.759,116.401,120.202,101.281
,107.77,101.953,132.455,113.903,108.511
,133.62,111.557,116.636,112.635,128.039
,83.3537,131.315,106.438,126.796,77.8525
,131.457,102.734,112.124,109.32,112.423
,115.37,125.229,120.626,120.276,105.892
,127.066,123.302,116.089,131.999,119.066
,66.0302,126.633,97.8067,107.118,129.561
,107.51,97.2386,128.348,107.468,122.298
,129.737,110.844,122.01,113.636,119.892
,125.929,119.873,120.93,123.673,110.72
,98.8748,128.905,100.606,133.929,126.361
,92.4578,116.369,103.813,119.755,127.856
,130.933,114.405,110.741,120.825,121.486
,106.961,92.1396,123.454,127.3,119.349
,110.441,131.465,117.375,107.018,80.1394
,117.943,133.018,103.764,127.205,99.5208
,111.783,83.7667,117.414,119.136,121.105
,59.4672,119.203,106.383,100.926,120.017
,108.369,108.249,131.082,126.085,97.0582
,75.957,128.612,112.622,116.343,104.811
,130.755,126.13,116.443,125.584,90.1565
,111.786,96.394,114.146,122.725,118.349
,65.4454,117.508,123.667,122.659,122.833
,109.132,116.801,131.746,95.2758,127.233
,116.336,109.448,120.702,130.232,129.532
,125.709,117.668,107.667,125.694,119.272
,105.039,131.966,130.776,116.77,127.143
,113.114,120.37,105.668,133.406,123.174
,132.693,126.211,119.35,122.004,129.095
,73.3198,124.367,120.486,130.701,116.686
,113.76,116.099,103.38,126.273,125.14
,68.4374,68.6983,93.1268,114.351,95.3968
,119.186,109.799,95.8012,116.217,125.103
,75.61,87.7153,124.783,125.164,128.064
,98.5986,122.011,115.063,130.392,110.412
,132.866,77.7319,129.774,90.0521,125.534
,113.559,123.825,108.046,103.878,123.687
,116.433,102.231,117.425,119.99,122.626
,133.281,123.054,79.7058,113.186,119.991
,124.755,116.973,88.6764,120.806,117.185
,81.9257,89.0787,80.8211,124.689,127.651
,132.294,121.419,123.254,101.807,98.1483
,46.6364,132.163,128.622,115.99,120.048
,135.282,113.186,123.989,116.377,125.706
,98.1843,123.908,124.27,128.501,112.727
,113.473,87.9071,117.808,106.033,128.705
,129.68,125.012,125.803,122.749,118.441
,126.287,134.135,112.411,125.198,124.309
,79.1304,133.244,121.355,93.7777,119.309
,114.589,80.2586,115.409,120.082,127.925
,127.848,114.36,124.559,109.1,107.369
,73.0034,128.939,128.804,122.912,127.282
,107.866,120.234,106.474,114.504,129.249
,83.5616,63.8237,122.142,120.391,124.039
,122.813,112.546,119.738,99.4577,96.3434
,132.495,130.546,112.375,104.569,124.541
,132.142,132.484,120.227,117.206,125.186
,106.828,117.24,122.8,128.559,109.744
,133.15,114.205,126.633,126.569,96.8731
,114.472,131.443,127.291,103.496,120.834
,115.008,112.662,109.856,114.721,126.705
,113.513,104.91,121.97,119.051,130.581
,82.9217,124.661,126.821,103.718,124.392
,118.67,102.792,80.0099,129.699,128.326
,87.2086,120.685,128.118,123.517,103.008
,112.398,105.388,125.483,127.492,119.734
,111.977,119.519,118.074,120.637,128.168
,124.852,89.7721,122.865,118.117,126.158
,130.286,124.056,100.233,98.5289,122.942
,124.052,124.074,129.22,117.879,110.439
,130.262,131.288,133.758,124.131,100.271
,108.670466,113.311808,115.675492,117.608391,117.136536
,103,105.8,106.4,107.1,107
,2,4,6,8,10
simulation,108.670466,113.311808,114.55711692,116.60600591,116.01722136
paper,103,105.8,106.4,107.1,107
